,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
83,"Two of his albums , The Gambler and Kenny , are featured in the About.com poll of `` The 200 Most Influential Country Albums Ever '' .","Kenny Rogers released the album, Kenny in 2005.","[{'question': 'What is the name of the album Kenny Rogers released in 2005?', 'answer': 'The gambler and kenny'}, {'question': ""What was Kenny Rogers' first album?"", 'answer': 'The gambler and kenny rogers.'}, {'question': 'When did Kenny Rogers release his album, Kenny?', 'answer': 'Kenny rogers released his album, kenny.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The gambler and kenny,What is the name of the album Kenny Rogers released in 2005?,The gambler and kenny,What was Kenny Rogers' first album?,The gambler and kenny rogers.,"When did Kenny Rogers release his album, Kenny?","Kenny rogers released his album, kenny.",None,None,None,None,None,None,None,None,The name of the album Kenny Rogers released in 2005 is The gambler and Kenny.
84,X-Men : Days of Future Past is a 2014 American superhero film based on the fictional X-Men characters that appear in Marvel Comics .,X-Men: Days of Future Past is based on the DC Batman comics.,"[{'question': 'What is X-Men: Days of Future Past based on?', 'answer': 'X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.'}, {'question': 'What is the name of the character in X-Men: Days of Future Past?', 'answer': 'X-men is the name of the character in x-men: days of future past.'}, {'question': 'What is the name of the X-Men: Days of Future Past?', 'answer': 'X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.'}, {'question': 'What is the history of X-Men: Days of Future Past?', 'answer': 'X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.,What is X-Men: Days of Future Past based on?,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.,What is the name of the character in X-Men: Days of Future Past?,X-men is the name of the character in x-men: days of future past.,What is the name of the X-Men: Days of Future Past?,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.,What is the history of X-Men: Days of Future Past?,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.,None,None,None,None,None,None,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.
85,"During his 22-year career , Rodriguez has amassed a .297 batting average , 696 home runs , over 2,000 runs batted in -LRB- RBI -RRB- , over 2,000 runs scored , and over 3,000 hits . He became the youngest player ever to hit 500 home runs , reaching the milestone in 2007 .",Alex Rodriguez never hit a home run.,"[{'question': 'Who never hit a home run?', 'answer': 'Rodriguez'}, {'question': 'What did Alex Rodriguez never hit?', 'answer': 'Alex rodriguez never hit 500 home runs.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Alex rodriguez never hit 500 home runs.,Who never hit a home run?,Rodriguez,What did Alex Rodriguez never hit?,Alex rodriguez never hit 500 home runs.,None,None,None,None,None,None,None,None,None,None,Alex rodriguez never hit 500 home runs.
86,"In the 1960 presidential election , Kennedy narrowly defeated Republican opponent Richard Nixon , who was the incumbent Vice President .",John F. Kennedy ran against Andrew Jackson in the 1960 presidential election.,"[{'question': 'When did John F. Kennedy run against Andrew Jackson?', 'answer': '1960'}, {'question': 'Who did John F. Kennedy run against in the 1960 presidential election?', 'answer': 'Richard nixon'}, {'question': 'Who ran against Andrew Jackson in the 1960 presidential election?', 'answer': 'Kennedy'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Richard nixon,When did John F. Kennedy run against Andrew Jackson?,1960,Who did John F. Kennedy run against in the 1960 presidential election?,Richard nixon,Who ran against Andrew Jackson in the 1960 presidential election?,Kennedy,None,None,None,None,None,None,None,None,John F. Kennedy ran against Richard Nixon in the 1960 presidential election.
87,"The film stars the voices of Jay Baruchel , Gerard Butler , Craig Ferguson , America Ferrera , Jonah Hill , T.J. Miller , Kristen Wiig , and Christopher Mintz-Plasse .",Gift of the Night Fury only stars the voices of actors and actresses born in October.,"[{'question': 'When was the first movie of Gift of the Night Fury released?', 'answer': 'The first movie of gift of the night fury was released in 2006.'}, {'question': 'What is the name of the movie that stars the voices of actors and actresses born in October?', 'answer': 'The name of the movie that stars the voices of actors and actresses born in october is jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse.'}, {'question': 'What does Gift of the Night Fury only star actors and actresses born in October?', 'answer': 'The film stars the voices of jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","The film stars the voices of jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse.",When was the first movie of Gift of the Night Fury released?,The first movie of gift of the night fury was released in 2006.,What is the name of the movie that stars the voices of actors and actresses born in October?,"The name of the movie that stars the voices of actors and actresses born in october is jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse.",What does Gift of the Night Fury only star actors and actresses born in October?,"The film stars the voices of jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse.",None,None,None,None,None,None,None,None,"The film stars the voices of jay baruchel, gerard butler, craig ferguson, america ferrera, jonah hill, t.j. miller, kristen wiig, and christopher mintz-plasse."
88,"It was the recipient of seven Academy Awards -LRB- out of twelve nominations -RRB- , including Best Picture , Best Director , Best Adapted Screenplay , and Best Original Score , as well as numerous other awards -LRB- including seven BAFTAs and three Golden Globes -RRB- .",Schindler's List was not awarded The Academy Award for Best Picture.,"[{'question': ""What award did Schindler's List not win?"", 'answer': ""The award was not won by schindler's list.""}, {'question': 'What is the list of movies that won the Academy Award for Best Picture?', 'answer': 'Best picture, best director, best adapted screenplay, and best original score.'}, {'question': ""What was Schindler's List not awarded for?"", 'answer': 'It was the recipient of seven academy awards -lrb- out of twelve nominations -rrb-, including best picture, best director, best adapted screenplay, and best original score, as well as numerous other awards -lrb- including seven baftas and three golden globes -rrb-.'}, {'question': 'Who won the Academy Award for Best Picture?', 'answer': 'The academy award for best picture was the recipient of seven academy awards.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","It was the recipient of seven academy awards -lrb- out of twelve nominations -rrb-, including best picture, best director, best adapted screenplay, and best original score, as well as numerous other awards -lrb- including seven baftas and three golden globes -rrb-.",What award did Schindler's List not win?,The award was not won by schindler's list.,What is the list of movies that won the Academy Award for Best Picture?,"Best picture, best director, best adapted screenplay, and best original score.",What was Schindler's List not awarded for?,"It was the recipient of seven academy awards -lrb- out of twelve nominations -rrb-, including best picture, best director, best adapted screenplay, and best original score, as well as numerous other awards -lrb- including seven baftas and three golden globes -rrb-.",Who won the Academy Award for Best Picture?,The academy award for best picture was the recipient of seven academy awards.,None,None,None,None,None,None,"It was the recipient of seven academy awards -lrb- out of twelve nominations -rrb-, including best picture, best director, best adapted screenplay, and best original score, as well as numerous other awards -lrb- including seven baftas and three golden globes -rrb-."
89,He won the Academy Award for Best Supporting Actor for his performance in the 1966 Billy Wilder film The Fortune Cookie .,Walter Matthau is incapable of winning anything.,"[{'question': 'Is Walter Matthau capable of winning anything?', 'answer': 'Yes, walter matthau is capable of winning anything.'}, {'question': 'Who is incapable of winning anything?', 'answer': 'Billy wilder'}, {'question': 'What is Walter Matthau incapable of winning?', 'answer': 'Walter matthau won the academy award for best supporting actor for his performance in the 1966 billy wilder film the fortune cookie.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Yes, walter matthau is capable of winning anything.",Is Walter Matthau capable of winning anything?,"Yes, walter matthau is capable of winning anything.",Who is incapable of winning anything?,Billy wilder,What is Walter Matthau incapable of winning?,Walter matthau won the academy award for best supporting actor for his performance in the 1966 billy wilder film the fortune cookie.,None,None,None,None,None,None,None,None,Walter matthau is capable of winning anything.
90,"Billboard placed them at the top of their `` Year In Rock '' rankings for 2013 , and named them their `` Breakthrough Band of 2013 '' .","Imagine Dragons was named the ""Breakthrough Band of 2014.""","[{'question': 'What year was the Breakthrough Band of Imagine Dragons?', 'answer': '2013'}, {'question': 'What is the name of the ""Breakthrough Band of 2014""?', 'answer': 'Breakthrough band of 2013'}, {'question': 'What is the name of the band that was named the ""Breakthrough Band of 2014""?', 'answer': 'Breakthrough band of 2014'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Breakthrough band of 2013,What year was the Breakthrough Band of Imagine Dragons?,2013,"What is the name of the ""Breakthrough Band of 2014""?",Breakthrough band of 2013,"What is the name of the band that was named the ""Breakthrough Band of 2014""?",Breakthrough band of 2014,None,None,None,None,None,None,None,None,The name of the `` Breakthrough Band of 2014 '' is Breakthrough band of 2013.
91,"Beginning in the 16th century , British and French claims were made on the area , with the colony of Canada first being established by the French in 1535 during Jacques Cartier 's second voyage to New France . Pursuant to the British North America Act , on July 1 , 1867 , the colonies of Canada , New Brunswick , and Nova Scotia joined to form the semi-autonomous federal Dominion of Canada .",Canada was never the location of a French colony.,"[{'question': 'What was the location of a French colony?', 'answer': 'New france'}, {'question': 'Why was Canada never a French colony?', 'answer': ""The colony of canada first being established by the french in 1535 during jacques cartier's second voyage to new france.""}, {'question': 'Canada was never the location of what?', 'answer': 'New france'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The colony of canada first being established by the french in 1535 during jacques cartier's second voyage to new france.,What was the location of a French colony?,New france,Why was Canada never a French colony?,The colony of canada first being established by the french in 1535 during jacques cartier's second voyage to new france.,Canada was never the location of what?,New france,None,None,None,None,None,None,None,None,Canada was never a French colony because the colony of canada was first established by the french in 1535 during jacques cartier's second voyage to new france.
92,System of a Down has sold over 40 million records worldwide .,System of a Down has only sold albums in Greenland.,"[{'question': 'What has System of a Down sold in Greenland?', 'answer': 'System of a down has sold over 40 million records worldwide.'}, {'question': 'What is the name of the album that has only sold in Greenland?', 'answer': 'System of a down'}, {'question': 'Where has System of a Down sold only albums?', 'answer': 'System of a down has sold over 40 million records worldwide.'}, {'question': 'What is the only album that has sold in Greenland?', 'answer': 'System of a down'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",System of a down has sold over 40 million records worldwide.,What has System of a Down sold in Greenland?,System of a down has sold over 40 million records worldwide.,What is the name of the album that has only sold in Greenland?,System of a down,Where has System of a Down sold only albums?,System of a down has sold over 40 million records worldwide.,What is the only album that has sold in Greenland?,System of a down,None,None,None,None,None,None,System of a down has sold over 40 million records worldwide.
93,"Considered to be one of the greatest quarterbacks of all time , he spent 14 seasons with the Colts and was a member of the Denver Broncos in his last four seasons . After undergoing neck surgery that forced him to miss the entire 2011 season , Manning was released by the Colts and signed with the Denver Broncos .",Payton Manning signed with the Ontario Broncos.,"[{'question': 'What team did Payton Manning sign with?', 'answer': 'Denver broncos'}, {'question': 'What is the name of the player who signed with the Broncos?', 'answer': 'Manning'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Denver broncos,What team did Payton Manning sign with?,Denver broncos,What is the name of the player who signed with the Broncos?,Manning,None,None,None,None,None,None,None,None,None,None,Payton Manning signed with the Denver Broncos.
94,"Davis 's three divisions -- - feature film , independent film , and television - -- develop and produce film and television projects for the major studios , independent distributors , networks and cable broadcasters .",Anthropology is a division of Davis Entertainment.,"[{'question': ""What is Davis Entertainment's division of anthropology?"", 'answer': ""Davis entertainment's division of anthropology is feature film, independent film, and television.""}, {'question': 'What is Anthropology?', 'answer': 'It is a feature film, independent film, and television.'}, {'question': 'What is the name of the company that does Anthropology?', 'answer': 'The name of anthropology is the company that does anthropology.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The name of anthropology is the company that does anthropology.,What is Davis Entertainment's division of anthropology?,"Davis entertainment's division of anthropology is feature film, independent film, and television.",What is Anthropology?,"It is a feature film, independent film, and television.",What is the name of the company that does Anthropology?,The name of anthropology is the company that does anthropology.,None,None,None,None,None,None,None,None,The name of anthropology is the company that does anthropology.
95,"He is known for his long-running role as Wolverine in the X-Men film series , as well as for his lead roles in films such as the romantic-comedy fantasy Kate & Leopold -LRB- 2001 -RRB- , the action-horror film Van Helsing -LRB- 2004 -RRB- , the magic-themed drama The Prestige -LRB- 2006 -RRB- , the epic fantasy drama The Fountain -LRB- 2006 -RRB- , the epic historical romantic drama Australia -LRB- 2008 -RRB- , the film version of Les Misérables -LRB- 2012 -RRB- , and the thriller Prisoners -LRB- 2013 -RRB- .","Hugh Jackman has a public feud with Christopher Nolan, preventing any collaboration between the two.","[{'question': 'What is the problem with Hugh Jackman and Christopher Nolan?', 'answer': 'The problem with hugh jackman and christopher nolan is that he is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -'}, {'question': 'Who has a public feud with Christopher Nolan?', 'answer': 'He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy'}, {'question': ""Who is Hugh Jackman's public feud with?"", 'answer': 'He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy'}, {'question': ""What is the reason for Hugh Jackman's feud with Christopher Nolan?"", 'answer': 'He is known for his long-running role as wolverine in the x-men film series, as well as for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy",What is the problem with Hugh Jackman and Christopher Nolan?,"The problem with hugh jackman and christopher nolan is that he is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -",Who has a public feud with Christopher Nolan?,"He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy",Who is Hugh Jackman's public feud with?,"He is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic fantasy",What is the reason for Hugh Jackman's feud with Christopher Nolan?,"He is known for his long-running role as wolverine in the x-men film series, as well as for his lead roles in films such as the romantic-comedy fantasy kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrb- 2004 -rrb-, the magic-themed drama the prestige -lrb- 2006 -rrb-, the epic",None,None,None,None,None,None,"Christopher Nolan is known for his long-running role as wolverine in the x-men film series, as well for his lead roles in films such as the romantic-comedy fantasy film kate & leopold -lrb- 2001 -rrb-, the action-horror film van helsing -lrB- 2004 -rrB-, the magic-themed drama the prestige -lr b- 2006 -rr b-, the epic fantasy."
96,"Aubrey Drake Graham -LRB- born October 24 , 1986 -RRB- better known by the stage name Drake , is a Canadian rapper , singer , songwriter , record producer , and actor .",Drake is only German.,"[{'question': 'What is the name of the German king?', 'answer': 'Aubrey drake graham'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Aubrey drake graham,What is the name of the German king?,Aubrey drake graham,None,None,None,None,None,None,None,None,None,None,None,None,The name of the German king is Aubrey drake graham.
97,"Italy -LRB- Italia -LSB- iˈtaːlja -RSB- -RRB- , officially the Italian Republic -LRB- -LSB- Repubblica italiana , links = no -RSB- -RRB- , is a unitary parliamentary republic in Europe.The Italian peninsula is geographically located in Southern Europe , while North Italy can be placed partly or totally in Central Europe .",Italy is officially called the big meatball.,"[{'question': 'What is the Italian name for the big meatball?', 'answer': 'The italian name for the big meatball is lrb.'}, {'question': 'What is the official name of Italy?', 'answer': 'The official name of italy is the italian republic.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The official name of italy is the italian republic.,What is the Italian name for the big meatball?,The italian name for the big meatball is lrb.,What is the official name of Italy?,The official name of italy is the italian republic.,None,None,None,None,None,None,None,None,None,None,The official name of italy is the italian republic.
98,"Ron Cobb -LRB- born 1937 -RRB- is an American cartoonist , artist , writer , film designer , and film director .",Ron Cobb was only born in the year 1954.,"[{'question': 'What year was Ron Cobb born?', 'answer': 'Ron cobb was born in 1937.'}, {'question': 'What is the name of Ron Cobb?', 'answer': 'Ron cobb is an american cartoonist, artist, writer, film designer, and film director.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Ron cobb was born in 1937.,What year was Ron Cobb born?,Ron cobb was born in 1937.,What is the name of Ron Cobb?,"Ron cobb is an american cartoonist, artist, writer, film designer, and film director.",None,None,None,None,None,None,None,None,None,None,Ron Cobb was born in 1937.
99,"Silverman was a writer and occasional performer on Saturday Night Live , and starred in and produced The Sarah Silverman Program , which ran from 2007 to 2010 on Comedy Central , for which she was nominated for a Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series .",Sarah Silverman never wrote for a sketch comedy show.,"[{'question': 'Who never wrote for a sketch comedy show?', 'answer': 'Silverman'}, {'question': 'Sarah Silverman never wrote for what?', 'answer': 'The sarah silverman program'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The sarah silverman program,Who never wrote for a sketch comedy show?,Silverman,Sarah Silverman never wrote for what?,The sarah silverman program,None,None,None,None,None,None,None,None,None,None,Sarah Silverman never wrote for The Sarah Silverman program.
100,"The series is led by head writer and executive producer Steven Moffat , alongside executive producer Brian Minchin . It is the third and final series overseen by the two as executive producers , as well as Moffat 's sixth and final series as head writer .",Doctor Who was written by the Ancient Greeks.,"[{'question': 'Who was the Doctor Who of the Ancient Greeks?', 'answer': 'Steven moffat'}, {'question': 'Who wrote Doctor Who?', 'answer': 'Steven moffat'}, {'question': 'What is the name of the Doctor Who?', 'answer': 'Doctor who is the name of the doctor who.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Steven moffat,Who was the Doctor Who of the Ancient Greeks?,Steven moffat,Who wrote Doctor Who?,Steven moffat,What is the name of the Doctor Who?,Doctor who is the name of the doctor who.,None,None,None,None,None,None,None,None,Steven Moffat was the Doctor Who of the Ancient Greeks.
101,"Marie Skłodowska Curie -LRB- -LSB- ˈkjʊri , _ kjʊˈriː -RSB- -LSB- kyʁi -RSB- ; -LSB- kʲiˈri -RSB- ; 7 November 18674 July 1934 -RRB- , born Maria Salomea Skłodowska -LRB- -LSB- ˈmarja salɔˈmɛa skwɔˈdɔfska -RSB- -RRB- , was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity .",Marie Curie was naturalized-German.,"[{'question': 'Who was naturalized-German?', 'answer': 'Maria salomea skodowska was a polish and naturalized-french physicist and chemist who conducted pioneering research on radioactivity.'}, {'question': ""What was Marie Curie's nationality?"", 'answer': 'Polish and naturalized-french'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Polish and naturalized-french,Who was naturalized-German?,Maria salomea skodowska was a polish and naturalized-french physicist and chemist who conducted pioneering research on radioactivity.,What was Marie Curie's nationality?,Polish and naturalized-french,None,None,None,None,None,None,None,None,None,None,Marie Curie was Polish and naturalized-french.
102,"Rogue is a fictional superhero appearing in American comic books published by Marvel Comics , commonly in association with the X-Men .",Rogue appears in Canadian comic books.,"[{'question': 'Where does Rogue appear in comics?', 'answer': 'American comic books'}, {'question': 'What is the name of the character in Canadian comics?', 'answer': 'Rogue'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",American comic books,Where does Rogue appear in comics?,American comic books,What is the name of the character in Canadian comics?,Rogue,None,None,None,None,None,None,None,None,None,None,Rogue appears in American comic books.
103,The German Shepherd is the second-most registered breed by the American Kennel Club and fourth-most registered breed by The Kennel Club in the United Kingdom .,The German Shepherd is the second-most registered breed by the American Kennel Club and The Kennel Club UK.,"[{'question': 'What is the name of the American Kennel Club?', 'answer': 'German shepherd'}, {'question': 'How does the German Shepherd rank among dogs in the US?', 'answer': 'The german shepherd is the second-most registered breed by the american kennel club and fourth-most registered breed by the kennel club in the united kingdom.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The german shepherd is the second-most registered breed by the american kennel club and fourth-most registered breed by the kennel club in the united kingdom.,What is the name of the American Kennel Club?,German shepherd,How does the German Shepherd rank among dogs in the US?,The german shepherd is the second-most registered breed by the american kennel club and fourth-most registered breed by the kennel club in the united kingdom.,None,None,None,None,None,None,None,None,None,None,The german shepherd is the second-most registered breed by the american kennel club and fourth-most registered breed by the kennel club in the united kingdom.
104,"While working on Alias , Garner gained a cameo role in Catch Me if You Can -LRB- 2002 -RRB- , followed by a praised leading performance in the romantic comedy film 13 Going on 30 -LRB- 2004 -RRB- .",Jennifer Garner had a starring role in the film Catch Me if You Can.,"[{'question': ""What was Jennifer Garner's starring role in Catch Me if You Can?"", 'answer': 'Jennifer garner gained a cameo role in catch me if you can.'}, {'question': ""What was Jennifer Garner's role in Catch Me if You Can?"", 'answer': 'Jennifer garner gained a cameo role in catch me if you can.'}, {'question': 'What is the name of the movie that Jennifer Garner starred in?', 'answer': 'Catch me if you can'}, {'question': 'Who starred in Catch Me if You Can?', 'answer': 'Garner'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Jennifer garner gained a cameo role in catch me if you can.,What was Jennifer Garner's starring role in Catch Me if You Can?,Jennifer garner gained a cameo role in catch me if you can.,What was Jennifer Garner's role in Catch Me if You Can?,Jennifer garner gained a cameo role in catch me if you can.,What is the name of the movie that Jennifer Garner starred in?,Catch me if you can,Who starred in Catch Me if You Can?,Garner,None,None,None,None,None,None,Jennifer garner gained a cameo role in catch me if you can.
105,"Taiwan is the 22nd-largest economy in the world , and its high-tech industry plays a key role in the global economy .",Taiwan's high-tech industry plays a key role in the local economy.,"[{'question': ""What is Taiwan's high tech industry?"", 'answer': 'Taiwan is the 22nd-largest economy in the world.'}, {'question': ""How does Taiwan's high-tech industry play in the local economy?"", 'answer': ""Taiwan's high-tech industry plays a key role in the global economy.""}, {'question': ""What does Taiwan's high-tech industry play a key role in?"", 'answer': 'The global economy'}, {'question': ""What is Taiwan's key industry?"", 'answer': 'Taiwan is the 22nd-largest economy in the world.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Taiwan's high-tech industry plays a key role in the global economy.,What is Taiwan's high tech industry?,Taiwan is the 22nd-largest economy in the world.,How does Taiwan's high-tech industry play in the local economy?,Taiwan's high-tech industry plays a key role in the global economy.,What does Taiwan's high-tech industry play a key role in?,The global economy,What is Taiwan's key industry?,Taiwan is the 22nd-largest economy in the world.,None,None,None,None,None,None,Taiwan's high-tech industry plays a key role in the global economy.
106,"Following the Age of Discovery , Christianity spread to the Americas , Australasia , sub-Saharan Africa and the rest of the world through missionary work and colonization .",Christianity failed to spread to Australasia.,"[{'question': 'Christianity failed to spread to what region?', 'answer': 'Americas, australasia, sub-saharan africa and the rest of the world through missionary work and colonization.'}, {'question': 'What religion failed to spread to Australasia?', 'answer': 'Christianity'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Americas, australasia, sub-saharan africa and the rest of the world through missionary work and colonization.",Christianity failed to spread to what region?,"Americas, australasia, sub-saharan africa and the rest of the world through missionary work and colonization.",What religion failed to spread to Australasia?,Christianity,None,None,None,None,None,None,None,None,None,None,"Christianity failed to spread to Americas, australasia, sub-saharan africa and the rest of the world through missionary work and colonization."
107,"The film stars Seann William Scott , Paul Rudd , Christopher Mintz-Plasse , Bobb ' e J. Thompson , Jane Lynch and Elizabeth Banks .",Paul Rudd passed up the role he was offered in Role Models.,"[{'question': 'Why did Paul Rudd not get the role he was offered in Role Models?', 'answer': 'Paul rudd was offered in role models because he was not offered the role.'}, {'question': 'What role did Paul Rudd pass up in the role of a role model?', 'answer': 'Paul rudd pass up in the role of a role model.'}, {'question': 'Who was offered the role of Role Model?', 'answer': ""Seann william scott, paul rudd, christopher mintz-plasse, bobb'e j. thompson, jane lynch and elizabeth banks.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Paul rudd was offered in role models because he was not offered the role.,Why did Paul Rudd not get the role he was offered in Role Models?,Paul rudd was offered in role models because he was not offered the role.,What role did Paul Rudd pass up in the role of a role model?,Paul rudd pass up in the role of a role model.,Who was offered the role of Role Model?,"Seann william scott, paul rudd, christopher mintz-plasse, bobb'e j. thompson, jane lynch and elizabeth banks.",None,None,None,None,None,None,None,None,Paul Rudd did not get the role he was offered in Role Models because he was not offered the role.
